x1,x2,x3,x4,y
-0.126940,-1.417103,-1.111532,2.665367,7.180515
0.561903,2.037320,0.317893,0.901279,0.831681
2.767833,0.084280,-1.408663,0.798039,6.906886
1.527192,-1.095012,0.947206,-2.931544,1.482146
2.868772,-0.176730,2.821162,1.074859,3.137461
2.172643,2.563378,2.436271,-0.605554,-1.870722
2.857027,2.705999,-1.604924,1.974314,8.674989
-0.937872,-1.794124,-0.845347,0.822068,2.530178
0.292773,-0.155624,1.731774,0.483478,0.404445
-1.872586,0.768100,-2.077322,2.362786,8.506805
2.702655,1.882524,2.010360,1.214092,3.440995
1.772198,0.834698,-2.494756,-0.763237,5.786195
1.386050,-2.172236,1.437120,2.992868,4.485159
-2.889885,-1.697264,2.092270,0.494330,2.998695
0.435776,2.733256,-0.716509,2.778860,4.362638
0.099576,0.864281,-2.051736,0.052569,3.980778
-2.486780,1.395456,-0.998340,-1.431336,4.660547
-2.750468,0.556331,1.723463,-2.026736,5.167567
-1.242522,0.246992,-0.856660,2.836525,8.821661
-1.867817,1.482016,-2.943307,0.635707,5.288565
-0.119927,-0.464083,1.872770,2.412763,5.400116
2.874138,2.980861,-1.974689,0.097142,5.582785
-1.922261,0.234578,-2.016372,2.323155,8.718377
0.089953,2.293945,0.860429,-2.988044,2.862822
-0.752656,-0.792021,-1.702852,-2.074644,4.953239
0.660112,-2.240853,2.910199,-0.092611,-3.080037
2.243864,1.359745,-0.712809,0.701728,4.483102
0.885273,-0.913206,2.456997,-2.274368,-0.698291
0.113678,1.971859,1.101204,-0.264397,-0.913051
0.511891,-2.504703,1.674277,-2.472799,-2.193081
-0.031123,-1.127843,1.519754,-1.643712,-0.914791
-1.049988,0.037633,-1.009724,2.442633,7.744394
1.343091,2.143508,-0.581584,-1.939540,2.132543
1.838266,-1.678975,1.134967,-0.908721,-2.983738
1.723104,-0.541801,1.819439,-0.710234,-1.674488
-2.073729,1.458176,0.941048,-2.234496,4.373300
-1.394226,2.013876,-1.079793,2.047081,4.996441
-0.333305,-2.127826,0.761261,-1.594243,-1.485045
2.833497,0.367800,-2.260583,-1.239184,7.871026
-0.251616,-0.592531,-2.869675,1.298774,6.506859
1.044701,-0.978978,1.075050,2.537365,4.771091
2.451251,2.084138,2.716366,1.005769,2.194744
0.278467,-1.740521,-0.887037,-1.017327,0.067687
2.537345,1.346616,-2.936908,0.353529,8.791622
-1.486956,-0.995918,0.866200,-0.512265,1.103021
1.669208,-0.144343,2.335109,-0.967521,-1.388920
-2.775027,-1.680773,-2.274959,2.111354,8.217806
-1.388135,-2.893272,-1.744655,-0.257180,1.686117
-1.338543,0.781019,-2.526072,1.154603,6.220537
0.233767,-2.931641,-2.426445,-1.020099,0.877087
-1.683574,-0.219217,0.636492,-1.975334,3.499836
-1.143311,0.405753,1.270974,1.086842,3.345458
0.354945,-2.351665,-1.374752,-0.482786,-0.083059
-1.888451,1.405504,2.931005,2.930394,10.569481
2.462766,0.947310,-0.952404,-0.915524,4.276685
0.639638,-1.467902,2.299562,2.033764,2.573104
-2.779707,-0.059971,-2.869355,1.853707,8.495900
-1.476883,1.529777,-1.807595,-1.358191,4.454632
2.053483,-0.600444,-1.690235,-2.674874,6.521518
-0.534848,-2.612674,1.332383,0.966958,-0.607842
1.092339,1.595085,-1.208365,-0.104417,2.434431
-2.455690,0.057805,0.134658,-1.049415,3.650186
-1.092387,-0.962344,-1.913035,2.933138,9.734187
2.180997,-1.953914,-1.455059,2.684837,7.906583
2.229192,0.123254,-0.703029,-2.361815,4.773217
0.656130,-1.710938,-0.217143,-1.741979,-0.542969
0.048206,0.159460,0.082089,1.750089,4.297043
-1.375903,2.242846,-0.068499,0.353325,0.965494
2.043505,-1.045436,2.983149,-0.647988,-2.096215
0.691420,0.234562,-2.088043,0.307853,4.347539
2.878502,1.372453,-2.212460,1.895330,11.539067
0.941892,-2.633533,0.999862,-2.792857,-1.449279
1.737067,2.645836,-1.926082,-1.394649,3.363162
0.241915,-0.860095,-0.256235,-1.880568,1.279893
-2.678143,-1.886195,-2.076609,0.847351,5.287758
-0.061546,0.276422,-2.825942,-1.674381,6.134004
-0.815059,0.256475,-0.206161,1.482884,4.505406
-2.069892,-1.052980,1.288902,-2.758362,5.152283
-2.954612,-2.432064,0.516060,1.227854,3.293535
1.880736,-1.456634,1.540543,-2.017138,-2.065657
-1.852038,1.898727,-0.462959,-0.401208,2.050483
1.998631,-1.975985,-1.652082,2.807562,8.345222
-1.723718,-2.048922,2.951181,-0.468162,0.753544
-0.460935,2.137007,1.230254,2.810583,5.543310
0.776078,-0.357140,2.687574,0.639652,0.476758
-2.449418,2.381603,1.434316,-2.304883,3.478915
-2.527088,1.288839,0.733112,-2.051601,4.759181
-1.967269,0.846632,-1.864204,2.688018,9.130999
2.898228,-2.816989,2.825962,0.889157,-2.141832
2.482020,1.736704,-1.277300,-0.808638,4.748852
-2.942871,0.126105,2.320421,2.042813,8.407640
-0.070971,-2.172315,1.759989,0.357880,-1.857049
2.818028,-0.263899,0.651247,0.558227,2.747700
2.584375,1.020128,-1.042491,-1.470860,5.188691
1.092175,-0.234071,-0.924347,1.955716,5.788592
0.152383,0.181867,-2.410132,-1.343303,4.885145
-2.776618,0.541251,-2.578498,2.535368,9.539991
0.386268,-0.682595,0.872814,0.449859,0.157566
-0.258216,-0.128216,-2.868202,2.389049,9.117786
-2.194076,-2.369081,-2.448848,0.208604,4.198348
-1.470311,2.831210,1.493584,-2.573248,1.510529
0.611744,-2.281952,2.783298,2.430490,2.956085
1.303420,-1.157804,-0.175315,-1.066476,-0.543258
2.379911,1.142730,-0.599769,0.084525,3.830528
2.090614,-0.486797,-0.066275,0.574131,2.084698
-0.368862,1.612725,0.530240,0.543312,1.108433
-0.102978,-2.901904,2.672628,-0.691674,-3.690540
-2.795749,-0.207473,-2.158272,-1.553784,6.665726
0.128097,-1.396153,-0.409743,1.411582,2.744434
-2.842214,0.613292,0.120044,2.719081,8.998330
-2.266999,-0.789078,-1.699188,-2.544115,7.920192
-1.979624,-0.567598,-2.333645,-2.366050,8.097969
2.939640,-0.594499,-2.965372,-1.820140,8.973073
-1.423931,1.802408,0.148329,2.473017,5.973381
-2.492687,-1.994215,2.469045,-1.688686,2.122271
2.052938,1.818443,0.374049,2.396349,6.325536
0.298197,-2.786558,2.759510,2.872978,3.989178
1.163186,2.045375,0.092933,2.603871,5.507632
2.741824,2.412740,2.804461,0.902596,2.144259
2.826135,-2.717914,-2.453462,0.911208,4.560277
-1.325264,-2.956183,0.706482,-2.738371,1.551671
